,CommentHead,Comment,Rating
1690,Fair,its not looking like sleeping pillow,3
1691,Unsatisfactory,Bad,1
1692,Don't waste your money,very bad productI am not expecting like this from you (flipkart)Now I dont want to buy any product from youvery bad hahit this,1
1693,Waste of money!,Wasted material,1
1694,Expected a better product,bad prodact,2
1695,Super!,Comfortable pillow thanks Flipkart,5
1696,Not recommended at all,Very poor products,1
1697,Useless product,The product was cheap class,1
1699,Good quality product,Nice  product,4
1700,Unsatisfactory,Bad quality,1
1701,Bad quality,Better don't buy.. product is not up to the mark...,2
1703,Not good,Its ok,2
1704,Worth every penny,Super cute product,5
1705,Utterly Disappointed,Do not buy it very poor quality,1
1706,Don't waste your money,Worst,1
1707,Not recommended at all,This is the only worst product in the worldPlease don't buyEk dam waste  productFirst acchi hoti but after 2-3days it will become like chapathi,1
1708,Worth the money,Product is good in this price range,4
1709,Terrible product,Product is not satisfying,1
1710,Nice,Not bed,3
1711,Good choice,Ok,4
1712,Good,Ok some how,3
1713,Simply awesome,Nice,5
1714,Good,It was ok,3
1716,Utterly Disappointed,Worst pillows,1
1718,Fair,Thanks,3
1719,Waste of money!,Salesman behaviour,1
1720,Good,The quality is not very good & it's not badAverage,3
1721,Worst experience ever!,Waste,1
1722,Worst experience ever!,Bad quality,1
1723,Horrible,Worst piece,1
1725,Fair,Value for money,3
1726,Unsatisfactory,Worst product I have ever seen.Also I received only one pillow which was torn and dirty,1
1728,Really Nice,Nice quality,4
1729,Does the job,"Not so well, There is less than our expectation.",3
1730,Good,Good,3
1731,Expected a better product,Not better temporary ok waist of the money,2
1732,Absolute rubbish!,Bad product,1
1733,Absolute rubbish!,Waste of money .there is no fiber in pillow,1
1734,Good,Not as expected but ok,3
1735,Waste of money!,"Not at all good, very cheap quality. Don't buy.",1
1736,Utterly Disappointed,Worrest,1
1737,Must buy!,Very nice product 💋💋💋💋💋,5
1738,Fabulous!,It's comfort for sleep.,5
1739,Not good,Worst quality,2
1740,Horrible,Waste worst dirty pillows,1
1741,Absolute rubbish!,Very poor quality received,1
1742,Horrible,"Bad quality, I am not satisfied",1
1743,Perfect product!,Super product,5
1744,Horrible,Very very poor qualty cloth used.. totally disappointed,1
1746,Not good,Bad quality,2
1747,Horrible,Worst... don't waste money,1
1748,Very poor,Bad product and waste of money,1
1749,Slightly disappointed,Bad quality,2
1750,Slightly disappointed,Not bad,2
1751,Nice,According price product is ok ok,3
1752,Bad quality,"When I received the parcel , I was excited. But unwrapping it, all my excitation vanished like a spell!!After 1 day,  pillows became completely flat. Not good at all. Don't Buy.",2
1753,Value-for-money,Clothing material not that much good but it is comfortable,4
1756,Delightful,Worth the price. Satisfied with the product,4
1757,Hated it!,Just using for kids not bad,1
1758,Did not meet expectations,Bad finishing,1
1759,Useless product,Poor quality pls don't purchase any one.,1
1760,Worst experience ever!,quality of product very bad..app not working..want to return the same..,1
1761,Best in the market!,It was osm,5
1762,Don't waste your money,Worst product.,1
1763,Super!,Thank you Flipkart,5
1764,Nice,It's not that thick what you see in the picture....so I didn't get what is expected... same time the piece I got was OKAY...,3
1765,Terrific,Very good quality thank you so much Flipkart,5
1766,Absolute rubbish!,Don't buy this product,1
1767,Super!,Nice product...,5
1768,Horrible,Very poor quality..,1
1769,Absolute rubbish!,Not as shown in image....very thin,1
1771,Utterly Disappointed,Don't buy. Quality is very poor.,1
1772,Classy product,Excellent service delivery before time nicely brought and delivered,5
1773,Utterly Disappointed,"It's a useless item, poor quality",1
1774,Utterly Disappointed,Not as in image very soft will be compressed in days,1
1775,Terrific,Gud,5
1776,Hated it!,Waste,1
1780,Horrible,Bad quality,1
1781,Terrific,Very nice pillos,5
1783,Utterly Disappointed,West iteam. Quality less,1
1784,Absolute rubbish!,Not so good,1
1785,Decent product,"For this rate 3 pillows thats cheapest in market.. aand they are soft.. in first use it was soft and fluffy, after 3 or mor uses it become non fluffy, ..",3
1786,Decent product,Good Product,3
1788,Expected a better product,Very bad Itomes,2
1789,Best in the market!,Nice product good service,5
1790,Hated it!,Worst product ever bought ....,1
1791,Good quality product,Value for money but good,4
1792,Hated it!,Poor country,1
1794,Wonderful,GOOD,4
1795,Pretty good,Best quality,4
1797,Expected a better product,Product is not bad but something is better than nothing,2
1799,Classy product,Nice & super price,5
1800,Just wow!,Pillow outer clothes must be a thik and milky white,5
1802,Great product,Super product very nice,5
1804,Fair,Ok,3
1805,Classy product,Best budget item..I'm really happy and satisfied with the pillows👍👍👍👍👍👍👍,5
1806,Super!,Not bad,5
1809,Simply awesome,Very softBest quality ❤,5
1810,Best in the market!,Thank u flipkart,5
1811,Fabulous!,very soft and comfortable pillow I like it very much.,5
1812,Brilliant,Excellent product with best qualitys,5
1813,Fair,Danish my life,3
1814,Highly recommended,On the smaller size but okay to sleep on ...very soft ...overall for the price very good... However u need to put pillow cover as the one provided is fine and using pillow cover will provide for better hygiene,5
1815,Hated it!,Not good,1
1817,Not recommended at all,Bad quality. Don't buy,1
1818,Good quality product,Nyc. but little small.,4
1819,Highly recommended,Best,5
1821,Worst experience ever!,Low kwaliti,1
1822,Terrible product,It’s small not good as my expectation,1
1823,Good choice,Very good product,4
1824,Waste of money!,Not as good as it was shown,1
1825,Fair,It is ok but one place it's broked,3
1826,Not good,Very poor quality ☹️,2
1827,Worthless,Bad quality,1
1828,Utterly Disappointed,The coating started coming out from first use only. Not at all value for money.,1
1830,Good,Not bad,3
1832,Absolute rubbish!,Worst quality don't buy it i received a broken and bad quality toaster,1
1833,Best in the market!,Exclent,5
1834,Did not meet expectations,Very costly,1
1835,Just okay,This product is very bad quality,3
1836,Highly recommended,Awesome,5
1837,Good choice,It's good,4
1838,Worthless,This product is very bad,1
1839,Unsatisfactory,Very poor,1
1841,Don't waste your money,Poor quality,1
1842,Terrific purchase,Good performance,5
1843,Hated it!,Very poor quality one time use handle breaked,1
1844,Not good,When I use first time handel is breaked.,2
1845,Utterly Disappointed,Bad product,1
1846,Delightful,Oky,4
1847,Horrible,Waste product,1
1849,Best in the market!,Very nice 👌👌👌,5
1850,Expected a better product,Very bad quality having handle broken in two day....patahtic,2
1852,Excellent,Good product to buy,5
1853,Did not meet expectations,It's bad,1
1854,Nice product,good quality 👌👌,4
1855,Terrific purchase,Good quality,5
1856,Just okay,It's ok,3
1858,Could be way better,So so not good not bad,2
1859,Decent product,OK OK,3
1860,Did not meet expectations,Not as i expected...poor quality,1
1861,Slightly disappointed,"ok..,......!",2
1862,Classy product,Not bad but mota so good,5
1863,Hated it!,Again defective peice come and after 3 times use the non-stick layer comes out,1
1864,Useless product,It is not suggest able it's a worst product,1
1865,Value-for-money,Super,4
1866,Fair,Nyc product.,3
1867,Fair,Just OK,3
1868,Decent product,gud,3
1870,Just okay,Very good,3
1871,Best in the market!,Good product.,5
1872,Waste of money!,Size v small,1
1873,Mind-blowing purchase,NICE,5
1874,Good,Badso bad,3
1875,Very Good,Much than batter,4
1878,Perfect product!,not bad,5
1879,Mind-blowing purchase,Good camera battery🔋 backup is goodQuality is goodLook is good,5
1880,Terrific purchase,Nice mobile,5
1881,Just wow!,Best mobile no hang  stylish colour but battery problem,5
1882,Great product,value for money,5
1883,Just wow!,best product,5
1884,Don't waste your money,Ghatiya camra,1
1885,Waste of money!,Very bad product,1
1886,Best in the market!,Nice😊😊😊😊😊😊😊 tq,5
1887,Waste of money!,Bakwash phone,1
1888,Fair,"Some feature, that is next video option not available.....",3
1889,Utterly Disappointed,This phone hangs and get heated when we use app like tik tok it will give u late touch response,1
1890,Worst experience ever!,Not working mobile,1
1891,Terrible product,Cheating.... Injustice.... Not worthy.... Very very very bad.... Please don't waste your money,1
1892,Utterly Disappointed,"Battery farfamens very low,and cemera clarity very poor,phone hanging",1
1893,Worst experience ever!,very bad Product never buy this product as the phone stopped charging in 10 days & then was fully dead after that I will be publishing the add in the times for the same & putting a case against flipkart & ikall for selling bad products,1
1894,Don't waste your money,Very poor product in price range.....Chinese mobile....I am regret to ordering it,1
1895,Bad quality,Waste mobile Don't buy any one     Wastee,2
1896,Waste of money!,Don't buy this Mobile very poor quality,1
1897,Good choice,Ok good not bad,4
1898,Useless product,"Bitter experience, never buy anything from u and will spread this message to my all possible circle.",1
1900,Simply awesome,I want return my product because I want new phone with battery backup and good camera quality then please Refund my mobile imagiatelly,5
1901,Best in the market!,Thanks,5
1903,Really Nice,Very good product,4
1904,Wonderful,Vale for money,4
1905,Highly recommended,"According to price, this product is very nice.",5
1906,Mind-blowing purchase,Low cawalty,5
1907,Horrible,Very very bad quality,1
1909,Good,Worth from money,3
1910,Nice product,Ok,4
1911,Horrible,Very bad product I kall k400😠,1
1912,Hated it!,Don't buy this phone this is very worse phone please don't buy,1
1913,Utterly Disappointed,Camera and speaker quality is not so good.,1
1914,Hated it!,Very bed,1
1915,Bad quality,I'm not accept your product because your product is not working please ripples,2
1916,Very poor,Waste of money,1
1917,Did not meet expectations,Don't buy it faltu product ever,1
1918,Waste of money!,Wate,1
1919,Excellent,Good.,5
1920,Waste of money!,Very bed mobile phone,1
1921,Absolute rubbish!,VERY BAD PRODUCT ON FLIPKARD.........RETURN AND REFUND POLICY FAKE,1
1922,Slightly disappointed,Bettry is very bad and camera wanting is bad,2
1923,Waste of money!,Who take this mobile that person same on him self because this mobile not working on game not for anything it will hang in 3 or 4 days camera always brosm type,1
1924,Decent product,It's just good.,3
1925,Just okay,It was OK but it didn't contains processor,3
1926,Great product,Good tach  big smart phone,5
1927,Utterly Disappointed,worse phone,1
1929,Did not meet expectations,It's very bad product. 😔,1
1930,Absolute rubbish!,Very bad 😒,1
1931,Not recommended at all,This device id absolutely disgusting.... Do not buy it please....,1
1932,Terrible product,Don't buy this phone.,1
1933,Unsatisfactory,"Low cost but waste product ex : over heating ,low battery power etc......",1
1934,Utterly Disappointed,Very Bad phone please not buy this phone,1
1935,Excellent,Budget mobile value of money,5
1936,Moderate,Not that bad,2
1937,Best in the market!,I got surprised by getting this device in this budget. This device has fulfilled my all requirements because performance & battery backup are awesome. I never has have bought device like this before.,5
1938,Utterly Disappointed,Don't buy this phoneIt is very versed phone,1
1939,Expected a better product,This is the worst phone don't buy it and don't waste your money,2
1940,Did not meet expectations,Waste of moneyPoor quality,1
1941,Expected a better product,Totally waste of time and money,2
1942,Absolute rubbish!,More price,1
1943,Good choice,Super,4
1945,Classy product,I like,5
1947,Very poor,Bad product over heating,1
1949,Could be way better,Bad products,2
1950,Worthless,weast of money,1
1951,Could be way better,"Very poor product bad quality, one should not buy this phone",2
1953,Useless product,I kall k400 pubg play is not good,1
1954,Moderate,Very worst,2
1955,Not recommended at all,Voice listening is very low & BATTERY back up also very low either very fine,1
1956,Not recommended at all,Waste,1
1957,Worthless,Faltu product,1
1958,Wonderful,Good but camera quality not good,4
1959,Very Good,I am giving 4 star because the Back cap of phone is completely different from from phone,4
1960,Hated it!,This phone is very bad and  any thing phone part is not good flipcart is very very very poor app,1
1961,Horrible,Very very very.... Bad phone don't buy it u will lost ur money,1
1963,Highly recommended,Super Phone In Low Budget Best Phone in ikall Phones,5
1964,Did not meet expectations,Very poor performance mobile,1
1965,Nice,It was good but the battery was  very poor,3
1966,Good,Very nice mobile,3
1967,Utterly Disappointed,East West product,1
1968,Very poor,Product is wrost. Don't buy this product.,1
1969,Hated it!,This is not good products,1
1970,Worst experience ever!,Very veryBad and my return request is also cancelled by technicians with out consulting meVery very very bad don't buy this any moreThis is my strong advise,1
1971,Not recommended at all,not working very worsted not switch on,1
1972,Hated it!,"The phone is very bad and the operating system of phone is very very slow . And the phone is struck ing it,s very bad mobile . I don't like it",1
1973,Did not meet expectations,It is very bad,1
1974,Excellent,good product,5
1975,Horrible,Don't buy any product from flipkart .no support after purchasing product.  Quality of product is not good.overall experience with flipkart is poor.,1
1976,OK better,But charge is battery slow,1
1977,Terrible product,waste.of.product,1
1978,Horrible,This phone is not working language is Chinese,1
1979,Not recommended at all,Bekar paise waste Flipkart don't take from 😡😡😡😡😡😡😡😡😡😡😡🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,1
1980,Really Nice,Mobile is very good battery is also good overall good,4
1981,Classy product,NICE ONE PRODUCT N DELEVERY....,5
1982,Awesome,Fast delivery I love it,5
1983,Very poor,Bad quality don't buy,1
1984,Utterly Disappointed,Not so good,1
1985,Mind-blowing purchase,Its a old product,5
1986,Just okay,Bad prodacket,3
1987,Utterly Disappointed,Waste of money,1
1988,Excellent,Very nice phone,5
1989,Expected a better product,"Battery backup is very low,  sound problem even at maximum its not comparable with 50% of other brand,   picture and sound quality below expected",2
1990,Really Nice,Very nice product in this money,4
1991,Worthless,"Call excequtuve is very friendly But the product is of wrost quality kindly do not buy it if you want to buy it for online class So do not buy it it's camera is like 0.001mp heating by only 5 minutes usage, today i talked to a person on call in only 3 minutes it's battery gown down to 65percent to 1percent in only 3 minutes no return and refund policy I request flipkart to remove this product from Indian server",1
1992,Worst experience ever!,Nice,1
1993,Worth every penny,Nice 👍👍,5
1994,Worst experience ever!,Bad products,1
1995,Utterly Disappointed,"Super pathetic product and equally pathetic service...please don't buy this phone...absolute waste of money...you will regret, if you buy",1
1996,Useless product,Some times flipkart make us feel like we are not an branded company that's what derivering local products...,1
1997,Expected a better product,Very bad product old features,2
1998,Not recommended at all,This battery is very bad back camera is not good,1
1999,Mind-blowing purchase,very nice mobile phone,5
2000,Absolute rubbish!,Don t buy this moblie because it is waste for it is not able atten the online class for chidren so pls don t buy it,1
2002,Good quality product,ok ok product.,4
2003,Waste of money!,Very very bad phone ☹️😥 quality,1
2004,Bad quality,Bekar phon,2
2005,Delightful,Look's good,4
2006,Simply awesome,Sorry,5
2007,Does the job,Not for good,3
2008,Horrible,"Bad items , don't waist money for this mobile , And also bad return policy of company",1
2009,Don't waste your money,Not really good,1
2010,Great product,Very nice,5
2011,Waste of money!,Waste of money ..its worth for free only..ome of the worst class product along with worst class service by seller,1
2012,Terrible product,Battery poore quality and calling   in maximum 2 to 3 hours,1
2013,Worthless,"Patatic phone, it is not supporting my company mail.tuch and flesh light quality is so poor. Phone has 3000 MAH battery but not wort while. It got drain 45% in 1Hr. Phone does not have hot spot. I am feeling cheated. Flipkart has give assurance for this phone. Over all I am so disappointed with this phone.",1
2014,Bad quality,Very bad quality,2
2017,Perfect product!,The details show that there are 2 camera 8 mp & 5 mp .But one is a camera .But mobile is so cool .,5
2018,Hated it!,Very bad product,1
2019,Does the job,Rituon my mobile,3
2022,Useless product,Very bad working,1
2023,Worthless,"Worst item it is not working properly, battery is not charging",1
2024,Waste of money!,This product is below satisfactory level,1
2025,Utterly Disappointed,Phone Standard is very poor level of  of quality my phone is out of order SPEAKER IS 02 TIME DAMAGED with in 2 month camera is not good battery is working on video & games  04 hr only I am not recommended for buy this mobile,1
2026,Terrible product,waste of money,1
2027,Slightly disappointed,"Bad ,🔥🔥🔥🔥",2
2028,Unsatisfactory,Not good at all don't buy this cell phone as it is indian phone we are buying but not performed well very bad experience.,1
2029,Don't waste your money,Worst experience,1
2030,Waste of money!,Stupid product don't even think of buying this. I received a damaged product and they didnt even accept my return policy. Honestly  Iam saying this so than you will not woste your money..,1
2031,Highly recommended,Idiot mobile,5
2032,Worst experience ever!,Very poor,1
2033,Nice,This product is good for money 👍,3
2034,Moderate,Please don't waste your time and money,2
2035,Did not meet expectations,Very bad product don't waste your money,1
2036,Unsatisfactory,Item is not good hang hotha hai,1
2037,Utterly Disappointed,Bad productThere is no ranging cable inside the mobile,1
2038,Expected a better product,Product performance not good,2
2039,Worthless,Rubbish product,1
2040,Utterly Disappointed,Wrost product ever heating too much,1
2041,Does the job,"This device does the required work for what it was made to do, Backup phone. Worth the money. Plastic body with good quality. Phone battery is poor, on standby mode it runs out in 48 hours. Rest all its good and justifies the selling price.",3
2042,Decent product,Writing review after 2 weeks usage: The voice is not clear while calling. The performance of battery is sub optimal. Though the phone is cheaper still needs some improvement,3
2043,Mind-blowing purchase,this product wad good,5
2044,Excellent,budget phone 👌👌,5
2046,Simply awesome,best phone at this price,5
2047,Worth every penny,Nice phone,5
2048,Don't waste your money,Not satisfied,1
2049,Good quality product,very nice product,4
2050,Good,Love it,3
2051,Worth the money,it's a super product at this price. But the charger is not working. It's a unboxed product and New from factory.,4
2052,Really Nice,"Value for money., nice one",4
2053,Very Good,this product is good,4
2054,Terrific,good price... I like it...,5
2056,Expected a better product,battery is not good and har speaker also not good,2
2057,Just wow!,very very good product,5
2058,Worth every penny,not bad,5
2059,Mind-blowing purchase,Nice mobile,5
2060,Very poor,very bad product,1
2061,Best in the market!,good at the price,5
2062,Decent product,"it,s ok but too cool keypad",3
2063,Fabulous!,Nyc,5
2064,Fabulous!,value for money,5
2065,Horrible,Network problem,1
2066,Moderate,average,2
2068,Not recommended at all,"no torch,no camera very bad quality don,t buy it ever",1
2069,Horrible,Worst product don't waste the money☹️☹️😤☹️☹️,1
2070,Really Nice,Nice quality Gift phone,4
2071,Nice,It's ok not so good,3
2073,Terrific purchase,nice delivery flipkart,5
2074,Good quality product,very nice 😊,4
2075,Good,poor battery back up. don't buy it,3
2076,Useless product,battery drain tooo fast and charger not working,1
2077,Unsatisfactory,Very  bad sound  quality  and very  bad battery  quality,1
2078,Delightful,good 👏,4
2079,Terrible product,hang problem,1
2080,Just okay,👌 ok,3
2081,Fair,phone is good but camera has no clarity.sometimes speaking is not clear. for other purpose it  is good.,3
2082,Don't waste your money,Charger and earphones not giving in the box,1
2083,Hated it!,Waste of use ....Waste battery ...within 5days Phone will not usable,1
2084,Horrible,Battery back up not good,1
2085,Mind-blowing purchase,Thanks filpkart,5
2086,Delightful,VERY GOOD,4
2087,Wonderful,"Best performance mobile under low price, I am very happy with this performance.",4
2089,Good quality product,good mobile under this price,4
2090,Wonderful,Wawwwwww nice phone,5
2091,Highly recommended,nice one thank you Flipkart,5
2092,Must buy!,I like it.....👍👍👍👍👍👍👍👍👍👍👍👍👍,5
2094,Mind-blowing purchase,excellent mobile good design,5
2095,Simply awesome,battery problem,5
2096,Awesome,nice mobile for this rate,5
2099,Wonderful,good phone but sim card slot is tight,4
2100,Did not meet expectations,it is very poor company it is damaged in 15 days,1
2101,Great product,mst Item,5
2102,Excellent,nice mobile,5
2103,Nice product,Worthy for this cost,4
2104,Horrible,"I got this mobile but 4g sim has not supported,very bad performance.Dont buy this handset.",1
2106,Just wow!,Goob,5
2107,Bad quality,No Sound on Back side,2
2108,Value-for-money,"A small green light blinking every time not good,overall phone is good",4
2109,Absolute rubbish!,"worst product ,bettery is so...poor ,",1
2110,Very poor,very bad,1
2111,Perfect product!,Fabulous,5
2112,Fair,"Wast of money, don't buy",3
2113,Useless product,Not good.no need coverage.only emergency calls.,1
2114,Just wow!,Purchased for my old age maid..and if she can operate as an 50 years old lady then I believe it's easy to use.,5
2115,Could be way better,Okay,2
2116,Not recommended at all,Bad quality,1
2118,Don't waste your money,Not upto mark 👎👎,1
2120,Utterly Disappointed,Very very worst product don't buy it,1
2122,Not good,"Vibration during call or Vibration option not available in this phone, battery not settled properly I had to put paper to adjust the battey in line. Sometimes mobile gets stuck, i had to remove battery and switch on. battery backup is good it depends on how frequently you make calls.",2
2124,Useless product,Battery and display is OK. But incoming/outgoing voice is not clear. Waste of money.,1
2125,Unsatisfactory,After a week phone is not starting,1
2126,Could be way better,Watse of money.. battery condition very foor..,2
2127,Did not meet expectations,Battery does not work properly,1
2128,Terrific,Nic,5
2129,Does the job,Por betarry,3
2130,Terrible product,Bed quality,1
2131,Not good,Spicer not good,2
2132,Fair,Awesome product,3
2134,Don't waste your money,Battery is very very bad.😔😔😔😔,1
2135,Don't waste your money,Bad mobile,1
2136,Best in the market!,Super and excellent item👌🏼👌🏼👌🏼👌🏼,5
2138,Great product,Pros-Delivery prior commited dateGood body coverAverage batterySoft keypadLess priceCons-Battery drainage little fasterSound quality not goodBody is not smoothNot good looking as nokia phone,5
2140,Useless product,Wasted,1
2142,Nice product,I like this product as a secondary for calling only. This is just awsome if you also think like that. Good battery and nice display. Interesting thing is using this is feels good. Not disturbing with keypads. But the quality is not excellent. Its okay but looks like it will break even at its first drop.,4
2144,Bad quality,This mobile is very very bad don't buy this product 😣😣😣😣,2
2145,Brilliant,Nice,5
2146,Awesome,𝓣𝓱𝓪𝓷𝓴𝓼,5
2148,Very poor,Worst products,1
2149,Decent product,In my mobile torch is not there so don't buy for torch users,3
2150,Expected a better product,Mic and ear voice not proper,2
2151,Classy product,Nice phone nice product 👌,5
2153,Just wow!,Super. nice mobile  650 worth besd,5
2155,Hated it!,Not working no response from company side worst phone,1
2156,Not good,Not so good,2
2157,Fabulous!,Good,5
2158,Brilliant,Superab,5
2160,Mind-blowing purchase,Ok,5
2162,Don't waste your money,Too Worst Waste of money,1
2165,Simply awesome,Superrrrrrr,5
2166,Could be way better,Battery problem,2
2169,Waste of money!,3rd class mobile....,1
2170,Utterly Disappointed,Very bad product. Why make in India?Why should anyone buy this as it is basic mobile made in india and lots of problems.Don't buy it.,1
2171,Highly recommended,Retain my phone,5
2172,Classy product,I love it,5
2173,Very poor,bad product,1
2174,Slightly disappointed,Battery ishu,2
2175,Terrific purchase,Amazing product,5
2176,Just okay,Not good,3
2177,Terrible product,Very bad product.,1
2178,Waste of money!,Battery Backup Is Very Bad,1
2179,Simply awesome,Mobile gud,5
2180,Waste of money!,Waste of money  product is very poor in working and usage,1
2181,Worst experience ever!,No comments,1
2182,Slightly disappointed,Always I am receiving product defected product in this charger not working,2
2184,Terrible product,Very bad product and chinij,1
2185,Mind-blowing purchase,ok,5
2186,Don't waste your money,Bakwas pls guys don't bay,1
2187,Worst experience ever!,Cheap quality product,1
2188,Utterly Disappointed,Poor battery backup not properly respond after click,1
2189,Good,Okay,3
2190,Awesome,Superb mobile,5
2191,Delightful,Super I am Happy..,4
2192,Utterly Disappointed,Not bad,1
2193,Very poor,After 1 month battery damage,1
2194,Did not meet expectations,Not god,1
2195,Absolute rubbish!,Death my mobile phone .,1
2196,Terrific,Awesome 👍Thank you flipkart 😊🤗,5
2197,Delightful,Really it's very good,4
2198,Does the job,Not good,3
2199,Utterly Disappointed,Very bad product,1
2201,Not recommended at all,The phone is very very very bad,1
2202,Unsatisfactory,Battery and charger not working product waste,1
2203,Worst experience ever!,I recomend not to buy dis phone bcoz it is not good at all its battery is not working faltu phone dont waste ur money on buying dis phone....,1
2205,Absolute rubbish!,Mokka mobile nt working,1
2206,Very poor,Very poor quality.   Fhaltu phone he don't bey  guys.,1
2207,Terrible product,"Very bad ,I'm returning it.",1
2208,Mind-blowing purchase,Soo good 🤘🤘🤘,5
2209,Moderate,Useless ....cheating  ...,2
2210,Expected a better product,It's only worked for 1week only. waste of money 😣😣😣,2
2212,Did not meet expectations,Not working at all,1
2213,Terrible product,"Battery was died, and charger was also not working.. Phone was unable to charge... Worst phone given by flipcart... Very disappointed",1
2214,Not recommended at all,Too worst product,1
2217,Hated it!,This items is very very bad,1
2218,Don't waste your money,It was  not good,1
2219,Horrible,Verry bad productes,1
2220,Fabulous!,Nise,5
2221,Worst experience ever!,"This phone quality is very poor.When I switched it off and turned it on again, the phone started to hang and I didn't get any warranty card with it.i am very upset for this useless phone.👈This review is after 10 days of using it.",1
2222,Terrible product,Bad bad bad battery backup one hour and chargers pin is  not working  and show dubble phone delivery single phone I'm not happy I request return this product,1
2223,Absolute rubbish!,I have given 1 Star because there is no option for 0 or -ve number of star. It is totally useless product. It doesn't catch the signal at all. I requested for return but so far they haven't picked the item.,1
2225,Expected a better product,West product online show truch but truch not available.charger problem,2
2226,Did not meet expectations,very very bad phone.battery not working,1
2228,Worthless,Very bad battery quality,1
2230,Excellent,I like this mobile,5
2232,Very poor,"I buy this phn only for call purposes, but this phn call facility is very bad, when you call some one then some strange sound is occuring and you will not listen caller voice properly. So, i recommend not to buy this phn specially for calling purposes.",1
2233,Not good,Not work,2
2234,Useless product,Waste of money,1
2235,Fabulous!,To munch,5
2236,Hated it!,Worst products,1
2237,Highly recommended,Unique Design 😘,5
2239,Nice,Very bad bad bad bad,3
2240,Highly recommended,Just ok,5
2241,Simply awesome,Good product,5
2242,Really Nice,Nice phone super 👌👌👍,4
2243,Highly recommended,Nice phone,5
2244,Absolute rubbish!,"Backwash, waste of money",1
2245,Could be way better,Ok,2
2246,Utterly Disappointed,Bad quality.,1
2247,Unsatisfactory,Worst product waste of money,1
2249,Wonderful,valueable,4
2250,Worst experience ever!,Gud,1
2251,Worst experience ever!,Battery quality is very pour of i call some one within 40 mint it get drain from full charg and got switch off,1
2253,Brilliant,Thank you,5
2254,Fair,If u want low price to buy this. Battery profomans to low.,3
2255,Bad quality,Charging gets low quickly😤,2
2256,Not recommended at all,"After installing the battery and charging it for 12 hours first time it lasted only an hour,next to use, it always needs a ventilator support charger connected to use, plastic quality used on the phone is very bad,seems like a toy instead,dud phone,don't buy it and loose your money",1
2257,Good choice,Best product in less cost,4
2258,Very Good,Nice one 👍,4
2259,Slightly disappointed,Battery not good,2
2260,Perfect product!,Good itam,5
2264,Great product,Was good,5
2265,Decent product,Good but sound not good,3
2266,Nice,Not so gud better,3
2268,Not good,Not good  not bad,2
2269,Very poor,Very bed product. It is not working,1
2270,Absolute rubbish!,It's charger damaged when I put it to charge only for the first time,1
2271,Highly recommended,Nice product under a range of 500. Thanks Flipkart for providing such quality products,5
2272,Highly recommended,Nic,5
2273,Just okay,Nice  product,3
2274,Very poor,Very worst product,1
2275,Must buy!,Mobile very super,5
2276,Great product,Good,5
2277,Worth every penny,Niec,5
2278,Wonderful,Awsm Product,5
2279,Classy product,Nice phone,5
2280,Good quality product,Good supperb,4
2281,Does the job,Phone OK... better of money,3
2282,Good,Average,3
2283,Did not meet expectations,Worst product ever scene,1
2284,Don't waste your money,Worse products. Don't waste your money,1
2285,Fair,Kk good mobile under budget.....,3
2286,Useless product,"Battery is worst, hardly it goes 2-3hours",1
2288,Very poor,It's not good. Don't buy.,1
2289,Classy product,Super 😊,5
2290,Just wow!,Nice phone,5
2291,Waste of money!,Weast,1
2292,Simply awesome,overall lajawab...,5
2293,Slightly disappointed,Not good,2
2294,Very Good,Its very good,4
2295,Utterly Disappointed,Lost my money,1
2296,Hated it!,Not good don't buy,1
2297,Expected a better product,Flash not available......worst phone,2
2298,Did not meet expectations,Not buy.it is not good.,1
2301,Wonderful,Nicee product equal to range,4
2302,Horrible,Not good,1
2303,Just okay,Charger is not working.,3
2304,Don't waste your money,Very bad product.flipkart cheater..,1
2305,Bad quality,Ok,2
2307,Excellent,Super,5
2308,Good,Very bad,3
2309,Waste of money!,Battery can't charge. Buttons are damaged. Totally wasted,1
2310,Worth every penny,Osm,5
2312,Just wow!,Thanks,5
2313,Very poor,Totally waste of money,1
2314,Don't waste your money,Wast for money,1
2315,Wonderful,Mobile,5
2316,Terrible product,"First of all, they will not give you much storage for a image also!!! Next, only 1 ringtone, 1 message tone and alarm also! Please don't waste your money, I am confident that this phone is also worst than the olden time nokia mobiles.",1
2317,Pretty good,Nice and better mobile I like you oppo and Flipkart,4
2318,Waste of money!,Just ok,1
2319,Utterly Disappointed for missing product,frauding,1
2320,Not good,Very bad,2
2322,Did not meet expectations,This is not a product what you have been seen it's a fraud.,1
2323,Hated it!,Poor quality,1
2324,Not good,Performance bad network problem,2
2327,Just okay,Easy to handle,3
2328,Worthless,Don't buy....had to buy new charger the other day....,1
2329,Terrible product,All sim are not supported,1
2330,Not recommended at all,Dont buy this product .worst product after 5 days display didn't work and seller also didn't responded bad service at all,1
2331,Value-for-money,Nice product value for money,4
2332,Good quality product,Nyc product,4
2333,Not recommended at all,Speaker volume is too low,1
2334,Worth every penny,Thanked,5
2335,Nice,Nice product but it is so small Is to gud but so bad 😠😘😘😠😠,3
2336,Slightly disappointed,Charger was not good...... Waste of 💰😠😠😡😡😡,2
